Rank,Address,Address_Nametag,Quantity,Percentage,Value
"101","0xee6531637a90448b936929b61ac7a05fca41573b","","500,098","0.0650%","$500,098.00"
"102","0xdf2e12aee3a2cce3bca8e2a0260abd8caf297785","","500,000.0153","0.0649%","$500,000.02"
"103","0x9df537d65c5de60c0429099b1062f9662cc4fa15","","500,000.013767","0.0649%","$500,000.01"
"104","0xede939cf7482fa387e9406681702a5b745d14586","","499,999.812299","0.0649%","$499,999.81"
"105","0xec174c25bba7359b56fd672c8899664121e7dbcf","LBank : Hot Wallet 2","486,612.456786","0.0632%","$486,612.46"
"106","0x9b7913281019a8552fb7fab518795fc1ee88c5ae","","482,654.640514","0.0627%","$482,654.64"
"107","0x1622f344f3114c200c5ccbbd26925a6dfcb66b03","BitoPro","477,958.863167","0.0621%","$477,958.86"
"108","0xa0bb1ebf52a9307f30509d3b385754c33b7f2e26","","475,882.004618","0.0618%","$475,882.00"
"109","0xdac8a8e6dbf8c690ec6815e0ff03491b2770255d","","473,192.038032","0.0615%","$473,192.04"
"110","0x71b60d85c019bd9a224d2fd953e678ae06e6a819","","462,318.397937","0.0601%","$462,318.40"
"111","0xdf1e72be7c208d8c75c6c15982284d34af1ef0fb","","457,685.177182","0.0595%","$457,685.18"
"112","0x1d85f929ee6aedc3b4981d8fe408ae43942b2e53","","457,156.595909","0.0594%","$457,156.60"
"113","0x54f7ffea27d347c0a9d65ecd9ad56972763d00be","","457,069.745471","0.0594%","$457,069.75"
"114","0x3c1727c283370e476a63768c7cab843b8bd63130","","455,895.822073","0.0592%","$455,895.82"
"115","0x0762aefe72042f62775ee71ef94e9e050402fa07","","455,776.34295","0.0592%","$455,776.34"
"116","0x6b7adcee5f1711e718a4e6d5e6e820bea9fc610b","","446,562.396422","0.0580%","$446,562.40"
"117","0xc887846af2ed9a32fdb558548214614dbf98c02d","","443,661.925211","0.0576%","$443,661.93"
"118","0x852dc1c875f0117ea0808610010893e4c576b6a9","","432,995.70541","0.0562%","$432,995.71"
"119","0xb06919130ed8504267c856ae2f5525764190021b","","429,549.243673","0.0558%","$429,549.24"
"120","0xe6f62df887b4fc793cec2cf6247d06fe57bc60a1","","428,000.007032","0.0556%","$428,000.01"
"121","0x0394c4f17738a10096510832beab89a9dd090791","","417,837.107872","0.0543%","$417,837.11"
"122","0x7c02d72e818f66082c94cf3aa5d6011414b6a1cd","","400,000","0.0520%","$400,000.00"
"123","0x9573a11d939753737e8f09f80f07f6462c093a1c","","397,266.302408","0.0516%","$397,266.30"
"124","0x025cf6ce14657169f0b123ddf877da0b95a7d243","","395,868.574107","0.0514%","$395,868.57"
"125","0x129c7c4733b06190ccfee1a515e0d4b4edad9725","","391,905.6","0.0509%","$391,905.60"
"126","0xc1da33e8d60daf4f93a52357a57a076f44c45759","","387,686.837218","0.0504%","$387,686.84"
"127","0x08b60476688d222473eaf360da63d9627e73054c","","384,531.578388","0.0499%","$384,531.58"
"128","0xdabc9d605e68a4255ca783c6951d635e9cb85e6e","","381,768.066007","0.0496%","$381,768.07"
"129","0x88dcdc47d2f83a99cf0000fdf667a468bb958a78","Celer Network: cBridge","373,160.118453","0.0485%","$373,160.12"
"130","0x841c367289ebaf3b0edc2948211da82ee90d1582","","370,037.710021","0.0481%","$370,037.71"
"131","0xaeb318360f27748acb200ce616e389a6c9409a07","","363,405.216592","0.0472%","$363,405.22"
"132","0x627d05f2760118daa6264343597b9a48ff83b503","","358,471.138789","0.0466%","$358,471.14"
"133","0x4ab740157721105ae503fbad756a578171512525","","352,314.57663","0.0458%","$352,314.58"
"134","0x86500d7b9d71ecbc05bbfc0b3fabd83e1d759940","","351,812.984037","0.0457%","$351,812.98"
"135","0x9b08288c3be4f62bbf8d1c20ac9c5e6f9467d8b7","","350,839.101629","0.0456%","$350,839.10"
"136","0x1e5b92c66e4cad7963e8dacf1e8d642304c172c8","","350,112.949782","0.0455%","$350,112.95"
"137","0x8401a8f17d681b5d63b480fd45b291dc9ba89eae","","350,030.204499","0.0455%","$350,030.20"
"138","0x693c24672d01240d0280f734cd75d33deb4e84cf","","350,016.734899","0.0455%","$350,016.73"
"139","0x1cf1118f5a4e45f8fe53c5eda969efd6aa1a8cdd","","344,414.914272","0.0447%","$344,414.91"
"140","0x705db1ca4d534ea84a30790a049d0a29f10b2c0e","","339,383.584838","0.0441%","$339,383.58"
"141","0x518714dfe34b5de3e61bb6332f58cdfaeccf14be","","338,361.859379","0.0440%","$338,361.86"
"142","0xa9f882d340b3df74c403f6c504728a9f4ebe803f","","336,311.380164","0.0437%","$336,311.38"
"143","0x4d277c1279328c9c75c4636981dfde60f882cd3a","","335,832.647894","0.0436%","$335,832.65"
"144","0x5d34c34e01d627d185e6973ac0cd17581bfe77b2","","333,884.478377","0.0434%","$333,884.48"
"145","0x94dbf04e273d87e6d9bed68c616f43bf86560c74","","333,497.727818","0.0433%","$333,497.73"
"146","0x50f724bf8270e77b5cc3e165ecfb244f32d802f6","","333,146.940098","0.0433%","$333,146.94"
"147","0x0b408a7e60ae94d8fb302c9b5bb5f735794b3021","","333,117.745842","0.0433%","$333,117.75"
"148","0x758be77a3ee14e7193730560daa07dd3fcbfd200","","330,078.241437","0.0429%","$330,078.24"
"149","0x2865c7e00a23796bc030f590ab362a9a9d4e0f80","","330,000.902977","0.0429%","$330,000.90"
"150","0xd65448affe1475f101378a744a62c00f04cf50d6","","326,711.87517","0.0424%","$326,711.88"
