Rank,Address,Address_Nametag,Quantity,Percentage,Value
"351","0x7e00fdce3ef6d3de0650f98dff5d267cd51ca577","","132,353.550631","0.0172%","$132,353.55"
"352","0xed0dffd667a4ba704817e8f9ae28281352971604","","132,205.8165","0.0172%","$132,205.82"
"353","0xd3bbee3a4f6c4feb3aa2174250608a95273dec0f","","132,057.933795","0.0172%","$132,057.93"
"354","0x1820883d009af10b93a2a9e0cd1dd5c9327cb457","","131,767.306105","0.0171%","$131,767.31"
"355","0xaade422b0fe7c63863df83baf85a78299d99d8ec","","131,519.333367","0.0171%","$131,519.33"
"356","0xfe2088f569be8be097628f4a457dfa8a559e4838","","131,320.948025","0.0171%","$131,320.95"
"357","0x0ef468d9c635f745588ff5069c27aa53a1ee83ed","","131,046.025455","0.0170%","$131,046.03"
"358","0x24c81f968696cf86a75d924abee9821d1af1c250","","130,487.943408","0.0169%","$130,487.94"
"359","0x38077476ce96f976fbd3970460adedb719874015","","130,475.273337","0.0169%","$130,475.27"
"360","0x8a441da9f948f9d66de6cd25c95a13744fb12e8c","","130,449.679399","0.0169%","$130,449.68"
"361","0xc4e82ecc6103fc42fed76a44f55507272e84e087","","130,404.7002","0.0169%","$130,404.70"
"362","0xb3d0b1ed1915c790c85db9ef73d39848cd54ee0b","","130,000.005252","0.0169%","$130,000.01"
"363","0x8de5fb0cb145eb1b71b1738ec57e56fbca12b46f","","130,000","0.0169%","$130,000.00"
"364","0xb6b2983ac4d5596134f99ed957dd9decf70babc2","","129,890.798","0.0169%","$129,890.80"
"365","0x36165b14423425228d7ef62b3ffa799d446347c1","","129,696.669646","0.0168%","$129,696.67"
"366","0x6dc551088afaf828b95a9c9ad590aefe797c8e87","","129,301.60614","0.0168%","$129,301.61"
"367","0xc2603aa5a8cf3d8641e6aa0ae176f3103d1a9828","","129,204.624373","0.0168%","$129,204.62"
"368","0x820c191f87fb8ba3f971a9c097780b9378f54a1e","","128,341.577413","0.0167%","$128,341.58"
"369","0xead488f104bd055bf9bc87b2cdf4f1599ed9b26b","","127,804.293667","0.0166%","$127,804.29"
"370","0x60c9c377935b399ffe3956f17d19235d3db77ac1","","127,688.56262","0.0166%","$127,688.56"
"371","0xcfbe9d0320a750a0742b8166b617c6138fb9fb93","","127,338.922102","0.0165%","$127,338.92"
"372","0x8df0fc865368d26e1a08c565ee015f8c67098b1d","","127,300","0.0165%","$127,300.00"
"373","0x316fb96cbe2fb52dbe679d75b928fcfad858241b","","126,584.108105","0.0164%","$126,584.11"
"374","0x6a34bc58416381ad92aaae770256ed09ce2b2ec9","","125,515.87084","0.0163%","$125,515.87"
"375","0x76a501bd14b00f943f1ebeab512e53905021c052","","125,000","0.0162%","$125,000.00"
"376","0x11bcc5b9fbcd882952fec8ae95214036a981797b","","124,430.52412","0.0162%","$124,430.52"
"377","0x5fe84b85ba7dea0fbc8c4571491aca80d97f5e01","","124,147.61938","0.0161%","$124,147.62"
"378","0xef302f797baedb442d17befcf7863e1c474e0882","","123,551.478888","0.0160%","$123,551.48"
"379","0x6c53fb4421045c873ea4661024a522f3e02e3379","","123,000.726181","0.0160%","$123,000.73"
"380","0x34e4f8d6dcd0d833de38df464e989d9f167f2569","","120,106.784988","0.0156%","$120,106.78"
"381","0x839f9a1d8cbfea5ff73b934d5a2cc377647bb615","","120,100.984714","0.0156%","$120,100.98"
"382","0x5903dc01d5a7d25ac1dd39e7356a69afb3659ea5","","120,007.43084","0.0156%","$120,007.43"
"383","0xeeb41f89700d7df317248d1ca4362afb880fa376","","119,932.78683","0.0156%","$119,932.79"
"384","0x5c7bed3cca42e4562877ed88b9aa0f5898ed59b0","Bitmart 1","119,759.054872","0.0156%","$119,759.05"
"385","0xba4eee20f434bc3908a0b18da496348657133a7e","Rhinofi: Bridge","119,343.472561","0.0155%","$119,343.47"
"386","0x803729ec8b989efbd6953fca121a968809ba22cc","","119,236.105476","0.0155%","$119,236.11"
"387","0x071c1fe7d2492c84483fb91f7807f6cd2f94e28f","","118,997.3001","0.0155%","$118,997.30"
"388","0x1ca5aa5b1dd8d948bb0971a5fb1762fe172e0040","BloFin","118,689.621263","0.0154%","$118,689.62"
"389","0xcb5c1dbb86374f175d10b31c81868095daafe37a","","117,849.709983","0.0153%","$117,849.71"
"390","0x669dc77ce96f9d4c5727a37bd7ab957f0963d707","","117,580.165137","0.0153%","$117,580.17"
"391","0x76915d6d08f748bad0c98fd816a91182234974c7","","117,342.118137","0.0152%","$117,342.12"
"392","0xdfa8e956ce4dd82e37b6c421b81efd95d58f603f","","116,969.061185","0.0152%","$116,969.06"
"393","0xbff90cfed20ab74b5e347a4d1b813ab6bba5bf67","","116,701.29666","0.0152%","$116,701.30"
"394","0x848bc728ad614a37a2d167b122c6c52d9c3bb2a3","","115,624.141157","0.0150%","$115,624.14"
"395","0x0d1e2754695e7fcf69eb8eb3603d72e3bf6301f3","","114,991.674364","0.0149%","$114,991.67"
"396","0xef0415a8d93550d77ec58ac56e219550e25c5b2b","","114,990.220319","0.0149%","$114,990.22"
"397","0x5b604dd72ef1ba4915f6737b46699e9360f8bc1e","","114,444.370665","0.0149%","$114,444.37"
"398","0x088e77ed20d09eb28c15045190e61b8eedf0f7c4","","113,671.763857","0.0148%","$113,671.76"
"399","0xb4e0ebf605f16cd16d5a54fad55cdbd91d401393","","113,500","0.0147%","$113,500.00"
"400","0x798e3b578a25a6ce5b006303e10d8be8e7b7cb43","","113,218.272743","0.0147%","$113,218.27"
