Rank,Address,Address_Nametag,Quantity,Percentage,Value
"651","0xb8deccbe8d132f269f214c93a6bdbf540e5b03bc","","70,027","0.0091%","$70,027.00"
"652","0x504552d3db0ec8917d48a881baab20aa5da34282","","70,000.016458","0.0091%","$70,000.02"
"653","0x9076583ffb61819a29cc688d2d794dacc1141204","","70,000","0.0091%","$70,000.00"
"654","0xeca95d8d892263e5a4c9a0d5e9fc0b80358b60e1","","69,955.622265","0.0091%","$69,955.62"
"655","0x609a237a318291df0428db5e3c23121624de9052","","69,950","0.0091%","$69,950.00"
"656","0x0506c725c655d6a35325e7e514a498f2d37453fa","","69,675.816344","0.0091%","$69,675.82"
"657","0xcdd37ada79f589c15bd4f8fd2083dc88e34a2af2","","69,653.166145","0.0090%","$69,653.17"
"658","0x58d657b1fd506382da2dc872dc999f274491094a","","69,637.399082","0.0090%","$69,637.40"
"659","0xd9593ee4b9c56d53ea390c608b1a790fc9430ad8","","69,477.639062","0.0090%","$69,477.64"
"660","0x493a7aff1d83cba3d68575448a6801941d68a261","","69,240.00284","0.0090%","$69,240.00"
"661","0x521797ca2dcfb6d8079b38eb113741635eebbf7e","","68,994.42","0.0090%","$68,994.42"
"662","0x939fd1e4f8c57487c3141b2ea0d2489fa07d3175","","68,833.066167","0.0089%","$68,833.07"
"663","0xa10c062967f25ab1df531bf500beca6f24a3b2ac","","68,830.363577","0.0089%","$68,830.36"
"664","0x2d3a7d96cdfd53033dc20271a9ac83ba2e04a547","","68,706.791525","0.0089%","$68,706.79"
"665","0x4cd221750d76983b18a4bf3a7ebcd372cdc1df57","","68,612.014221","0.0089%","$68,612.01"
"666","0xc2755915a85c6f6c1c0f3a86ac8c058f11caa9c9","","68,565.973488","0.0089%","$68,565.97"
"667","0x0af74eb0e1a97215d68428406793f598826f1ee7","","68,504.891847","0.0089%","$68,504.89"
"668","0x95862a2c9d4fa6de5ea1fbc009c43981d349c594","","68,467.48935","0.0089%","$68,467.49"
"669","0x315bbaa8d8b7db9f29e2fa853e7c3a22c7fb9205","","68,310","0.0089%","$68,310.00"
"670","0x477eeaf7874308223f95cfeb497c28be9c9143dc","","68,307.7372","0.0089%","$68,307.74"
"671","0xab1a2721e9834577441241d96a325eda47c85016","","68,174.04725","0.0089%","$68,174.05"
"672","0x92011973604324eeb22f61e58c50f023243c8e66","","68,000","0.0088%","$68,000.00"
"673","0xc9df967627121d67bc120fadb291c3ba5800ab2d","","67,950.311674","0.0088%","$67,950.31"
"674","0x1616b057f8a89955d4a4f9fd9eb10289ac0e44a1","","67,922.763938","0.0088%","$67,922.76"
"675","0x6b0bf282a0c8688efed65cf6ae3fa8131d4a5f3f","","67,885.679872","0.0088%","$67,885.68"
"676","0x5a03f6a584acb9fcd99eecb77bb5566a684abbc2","","67,727.672497","0.0088%","$67,727.67"
"677","0x576ac6848c58ab8696913a19494616267b111705","","67,693.9235","0.0088%","$67,693.92"
"678","0x66d49d226ef55c28d92deda3e660f1509f8b4511","","67,632.65235","0.0088%","$67,632.65"
"679","0x5c65b7a0300b900a913e7dc3a8f348c302eedb26","","67,449.794551","0.0088%","$67,449.79"
"680","0x4690e2c25a78f16b584911f2abff6107eb53b664","","67,377.19821","0.0088%","$67,377.20"
"681","0x4299d593df89a60ac043e71df25144fdd659057f","","66,897.089714","0.0087%","$66,897.09"
"682","0xde74f4efdeec194c3f7b26be736bc8b5266ff7a5","Debank: Deposit Vault","66,858.573536","0.0087%","$66,858.57"
"683","0xc600147e15203cad5b71fa56aade1d57faaea840","","66,740.041186","0.0087%","$66,740.04"
"684","0xb33c701996cd12dba43b0f3d1e42713b19cbf424","","66,621.085089","0.0087%","$66,621.09"
"685","0x12e0f136929a33bb5877b7e07ce66f330af154e6","","66,500.016129","0.0086%","$66,500.02"
"686","0x55bf1555d6f5005ae2bdc1ca04dc1502faf924a6","","66,356.952142","0.0086%","$66,356.95"
"687","0xd27ec62bc97de28d48702475aefc0e35900eb812","","66,122.895171","0.0086%","$66,122.90"
"688","0x742abf6082acd72a49fd4c1cba860b086a27bbe3","","66,063.210587","0.0086%","$66,063.21"
"689","0x43099712545c2eb461838a9c07ccae7c2fad8c00","","65,874.39736","0.0086%","$65,874.40"
"690","0xdc8f0f2aef01eb3a11b7f73b087a2f6a2ee3067f","CoinW 2","65,765.524661","0.0085%","$65,765.52"
"691","0xf27f8d4504a09202fb20ca7d79566da8ce319a46","","65,637.860395","0.0085%","$65,637.86"
"692","0x18c77e4959a5d0bd1359f1a94feb5d5c00e58a53","","65,624.235346","0.0085%","$65,624.24"
"693","0x94263a84ae19ea0c549c676fd1d854dcbf337024","","65,599.145797","0.0085%","$65,599.15"
"694","0xc61876da17db934ddf76045bfda11b61583a0ac1","","65,583.700707","0.0085%","$65,583.70"
"695","0x3f5228d0e7d75467366be7de2c31d0d098ba2c23","","65,319.223931","0.0085%","$65,319.22"
"696","0x2b8b316f858cd78e317c2cdfac0493154bf6ee88","","65,279.531517","0.0085%","$65,279.53"
"697","0x65ceb1ffd2fb828c5946a9975d7f3dfe86e4f70c","","65,026.808277","0.0084%","$65,026.81"
"698","0x437c9fc37a3c0bde256dcc93a17cc0f454b068fd","","64,995","0.0084%","$64,995.00"
"699","0xb8576cfc6405c54541a7fe5e2dc705f2c1726943","","64,963.3461","0.0084%","$64,963.35"
"700","0xf66904686a2039734338eba1bd58cae82c7056be","","64,958.365745","0.0084%","$64,958.37"
