Rank,Address,Address_Nametag,Quantity,Percentage,Value
"901","0x6122c9303716443bcf1129125cecb20cb7808628","","49,435.523857","0.0064%","$49,435.52"
"902","0xacb9638b7486ce00b65574541cedf34db90b7cf8","","49,322.574608","0.0064%","$49,322.57"
"903","0xfc67c4fc407b23c23b89e7dd5cf62c584f9dd630","","49,300.59895","0.0064%","$49,300.60"
"904","0xbadeb1e02ab180a6ae6eb473cafd0e35b5f32718","","49,127.088432","0.0064%","$49,127.09"
"905","0xa5d480c47c0dc2ccc312fc9e53e49e19dd5e4ebd","","49,106.511794","0.0064%","$49,106.51"
"906","0xbfafba70c76b318bb5db9200cf42fd31fdf62c2c","","49,081.705192","0.0064%","$49,081.71"
"907","0x106661e99e70475427136b7388070eb052e8350f","","48,997.392089","0.0064%","$48,997.39"
"908","0xf09e3a35e34cac5464d15bbf7f1bfc7638dc718e","","48,865.098212","0.0063%","$48,865.10"
"909","0x1db92dbdf114ba0b1185896219016d815e5fa999","","48,850.684447","0.0063%","$48,850.68"
"910","0x11e7dbe4bdfeda568eca05d36ba4aee634aeaa71","","48,784.640779","0.0063%","$48,784.64"
"911","0x69fa5806bb083132a30df1d36b58fbaa6a69b841","","48,668.060944","0.0063%","$48,668.06"
"912","0xcc57297cb89986ae26d27d763fbe575522c67ab7","","48,639.547644","0.0063%","$48,639.55"
"913","0x44d3b229449d54e6f38218104957cd28f5aefec8","","48,610.956261","0.0063%","$48,610.96"
"914","0x930dedddb92fef1b4ab2665d250877339f064eac","","48,608.198999","0.0063%","$48,608.20"
"915","0x92a4e0c461378c626b6aa1b31cb1322ad2b503a2","","48,443.197986","0.0063%","$48,443.20"
"916","0x0526a7839226d848ac36e3746e8faef3bfa24264","","48,399.4","0.0063%","$48,399.40"
"917","0x3c4ffce09825f7b8cd40e522f60f91e9e2b005f4","","48,343.4017","0.0063%","$48,343.40"
"918","0xa8e0ddcfd91335eb70972b309a823c29bc860b5d","","48,284.721324","0.0063%","$48,284.72"
"919","0x74f4fb63fdedc68f092b2c1a0800b0ef262f35b6","","48,240.00019","0.0063%","$48,240.00"
"920","0x51343ee93059cbb11c4bf969a643e09117b3af6b","","48,211.28136","0.0063%","$48,211.28"
"921","0x9fd7ffcbd1f3ec07eecc3a991f87c59e4a6371a9","","48,111.402885","0.0062%","$48,111.40"
"922","0x010c01cf5a9ddb7d14df0900572d998cad65e64d","","48,048.5","0.0062%","$48,048.50"
"923","0x24357454d8d1a0cc93a6c25fd490467372bc2454","","48,002.670105","0.0062%","$48,002.67"
"924","0x1d0ecc33dee0a625f680ca4e3e14ef9362756717","","48,001.042253","0.0062%","$48,001.04"
"925","0x0dc95fc3aae0ea192756038b130dd21310e71b3f","","48,000","0.0062%","$48,000.00"
"926","0x348ee8db6fdd575fc52114e33286392b4dfa69f6","","48,000","0.0062%","$48,000.00"
"927","0x08d37187cb2724d797dd456632d68b24740e9e65","","47,914.94524","0.0062%","$47,914.95"
"928","0x9295ee1d8c5b022be115a2ad3c30c72e34e7f096","Across Protocol: SpokePool V3","47,898.642835","0.0062%","$47,898.64"
"929","0x40850ee0e3e7af1b07a8f51777b7c6355a65fe5c","","47,854.5","0.0062%","$47,854.50"
"930","0xe41d3fcba696b67311dcb1c94193fb829fd6a0e2","","47,808.204934","0.0062%","$47,808.20"
"931","0x763556cff47bde1b571eaf1e45b1d14f26b0b35e","","47,578.26","0.0062%","$47,578.26"
"932","0x8dd5bd25c172f8fbb2ccfaafe8b4fe94c2041e12","","47,557.50606","0.0062%","$47,557.51"
"933","0xa86da618adf975af104053060eb833f0ee5a2e47","","47,509.9674","0.0062%","$47,509.97"
"934","0x011eaf79ebdb083b4f0657392575e50130d39a1a","","47,271.85492","0.0061%","$47,271.85"
"935","0x2b05d529845655c1d56fce544a46be3e28226aa2","","47,264.538856","0.0061%","$47,264.54"
"936","0xff7396600146001a1da0bae6b8cd3ca60941c8b8","","47,256.468577","0.0061%","$47,256.47"
"937","0x0140452d5b68160793b891c5fa83f6ccb392c6ae","","47,246.020926","0.0061%","$47,246.02"
"938","0x39c4620d26c87beef4fdd78295001d1e1e5366f1","","47,234.945173","0.0061%","$47,234.95"
"939","0xfde3d5a49901c27f65940bec96db20890e57214d","","47,184.906505","0.0061%","$47,184.91"
"940","0xb6946b50057aa818a4aa9120ac314ff792a4fc24","","47,098.84947","0.0061%","$47,098.85"
"941","0x01e9142996c6ec3683181125b5fe58c741978d16","","47,083.949312","0.0061%","$47,083.95"
"942","0x5890b3b95d993069fe6da859d4bc346bc838dab2","","46,961.967204","0.0061%","$46,961.97"
"943","0xa21c5936b5c2e7d50afe2f97a7cbaeadff07f1c7","","46,773.152639","0.0061%","$46,773.15"
"944","0x4d108a579b0d001e2494901a1ee44280c3d516cd","","46,736.283346","0.0061%","$46,736.28"
"945","0x5fed0d9be6fd42e086e0d4f1bf6cecd19635dead","CoinDCX","46,726.855369","0.0061%","$46,726.86"
"946","0x9c062d7a6fd4b0d0df87822684c69774676170eb","","46,711.543422","0.0061%","$46,711.54"
"947","0xcd6eb21cf165ffd51c44fbaa5ce65dab48dc943d","","46,589.264","0.0061%","$46,589.26"
"948","0xe89de0a33b437aefb4612d4f82441adf6e55b2e0","","46,538.000008","0.0060%","$46,538.00"
"949","0x48141c561c7cbc5700ab50bd1df96f27cca72906","","46,537.361639","0.0060%","$46,537.36"
"950","0x756a78077a06493b9ff0ed18b50df695dfa5e0d9","","46,361.088414","0.0060%","$46,361.09"
