Rank,Address,Address_Nametag,Quantity,Percentage,Value
"401","0x0c1d0fa1049bd8985ee1b297545d087b4c5f0c84","","112,202.716642","0.0146%","$112,202.72"
"402","0x272e8abd2ab8893cee8b3acacf983a02dd764ec9","","112,117.292275","0.0146%","$112,117.29"
"403","0x3766f33bcdf754ebb872bd0d356e12949362ceed","","112,092.310201","0.0146%","$112,092.31"
"404","0xbcd93566ee5c12ab20a01cdd26c68b55eefbac61","","112,076.884924","0.0146%","$112,076.88"
"405","0x9ceff2f5138fc59eb925d270b8a7a9c02a1810f2","","111,592.747816","0.0145%","$111,592.75"
"406","0x60cadadfacb40ff9c43515f6d486170d4428e5ca","","111,442.1629","0.0145%","$111,442.16"
"407","0xf0ef40c93bc2f9ea069d596976d9e28a4a786972","","111,226.128911","0.0144%","$111,226.13"
"408","0xf250ee103b8e4c5b9825a270e5c70ea0c113c854","","110,867.097078","0.0144%","$110,867.10"
"409","0x0aa7746b15712487c2174e8bb596bd0de96c3c6b","","110,337.176209","0.0143%","$110,337.18"
"410","0xd01367205136cd72b07b51ca78011854148f045e","","109,565.365692","0.0142%","$109,565.37"
"411","0x60cb5c9c4733789f9225b3b993c2a6bd875214ad","","109,549.033663","0.0142%","$109,549.03"
"412","0x3f27f5caa0be35ce70959d406a0d8548f14a0a55","","109,465.577045","0.0142%","$109,465.58"
"413","0x7a4c69006e143327e1e649c1770f23eb5f289f88","","109,425.02765","0.0142%","$109,425.03"
"414","0xeffd1e0123a99370062a93399c068e68d86b0cb1","","109,376.5175","0.0142%","$109,376.52"
"415","0xa86e33937a4a3ade11f4f30865559e814bdde0ff","","109,284.05453","0.0142%","$109,284.05"
"416","0x53c6123f961e80ad5ab950a76196061a24c7566d","","108,531.873584","0.0141%","$108,531.87"
"417","0xf4f2dbfb3bca4aa4ed0a6a7c4c49fb91bac1c3a0","","108,237.291799","0.0141%","$108,237.29"
"418","0x8d17aca9ff24aec257ba28f7e3458082b4e7289b","","108,003.69862","0.0140%","$108,003.70"
"419","0x110daea2add9695bfb2dc638dc2dbc019b18e0b4","","107,818.270393","0.0140%","$107,818.27"
"420","0x24af68ff6e3501eaf8b52a9f7935225e524fe617","","107,699.782267","0.0140%","$107,699.78"
"421","0x59036d572a44ad68420bec5b80c77b3cae9265ca","","107,543.79734","0.0140%","$107,543.80"
"422","0x12affe771b072dd21ee5875eaa49b8a8321cd1d6","","107,419.547001","0.0140%","$107,419.55"
"423","0xef6663aecda4ac0aaac754d3ebdd124784588b42","","107,395","0.0140%","$107,395.00"
"424","0x603a781abd6c49dfe5beae7ffffc8e9bdc9f09cb","","107,214.465112","0.0139%","$107,214.47"
"425","0x4b2cad10b86c42fb79518d0ee4905d2868a77d42","","107,031.619027","0.0139%","$107,031.62"
"426","0x5e617ed09a9525626c8e24fc844737354d323646","","106,916.835524","0.0139%","$106,916.84"
"427","0x9ba6119c259050322900b724abca9f65de69a6ff","","106,000.025095","0.0138%","$106,000.03"
"428","0x93b00d72a16af7fcc2cabda0d1307b93c08d3eef","","105,299","0.0137%","$105,299.00"
"429","0x521c9fd42ee4f3d5d04fb4b5aff474d288dac1e0","","105,003.06074","0.0136%","$105,003.06"
"430","0x62f7a29a5f3c77be92dbf30585590506c186bedd","","105,000","0.0136%","$105,000.00"
"431","0xf9a9a30b47010f9c5357950638e332170658df57","","105,000","0.0136%","$105,000.00"
"432","0x92bf75137a6b355d6102f423f3fe5c811839d9aa","","104,950","0.0136%","$104,950.00"
"433","0x5c02e2873c1ff261115919cc336c399d551b10d2","","104,673.342815","0.0136%","$104,673.34"
"434","0x9ffd31cfd52920915c55cd39d07c5750f9ff517a","","104,416.889445","0.0136%","$104,416.89"
"435","0x166716c2838e182d64886135a96f1aabca9a9756","","104,296.605002","0.0135%","$104,296.61"
"436","0xd2171abb60d2994cf9acb767f2116cf47bbf596f","InsurAce Protocol: Stakers Pool V2","104,104.221401","0.0135%","$104,104.22"
"437","0x69db804cf6df82431f5cda51a8f50c5b4dedcb3e","","103,727.985995","0.0135%","$103,727.99"
"438","0x15f8a4031b28eda4e6c2607a1a06ab90ddfc7303","","103,671.748597","0.0135%","$103,671.75"
"439","0xec81fb08234d1f204b48efd11e3251647e666c49","","102,507.625334","0.0133%","$102,507.63"
"440","0xc147d2639a39fe64777d6d0e2be0e6128ebdbd5c","","102,506.246875","0.0133%","$102,506.25"
"441","0x9586fa0f1a1ac3e3f58f9ea7451cc99e18bd5a3a","","102,050.020745","0.0133%","$102,050.02"
"442","0x55764100451aa9515d233ca00cc274cddc97ec3c","","101,551.59703","0.0132%","$101,551.60"
"443","0xbd1ee9642ca36481713adfdf9263d4d10180c7e8","","101,541.154674","0.0132%","$101,541.15"
"444","0xb4b21881ac870b2a8dd008345c1f846bc54c13da","","101,397.300058","0.0132%","$101,397.30"
"445","0x88bcffcc2b52498fcaa6a99ae8dbdaf4236a8516","","101,109.781221","0.0131%","$101,109.78"
"446","0x3fa4ac21f66f785b571c54589fd106307e71fa6f","","100,870.278637","0.0131%","$100,870.28"
"447","0x6570194c7d4cb08308fd402ec3935a3973867ca5","","100,549.180256","0.0131%","$100,549.18"
"448","0xb2f7d27b21a69a033f85c42d5eb079043baadc81","Hop Protocol: USDT Liquidity Pool","100,439.262088","0.0130%","$100,439.26"
"449","0x0bb2ed83d118946c2034db1fe1ed1a5302945a88","","100,394.309743","0.0130%","$100,394.31"
"450","0x0b4bd509b93b21f25e2d7051905e4a7dca180a72","","100,338.150199","0.0130%","$100,338.15"
