Rank,Address,Address_Nametag,Quantity,Percentage,Value
"151","0xa145b86acf954e33ad9f8bf20e0b6c8c2477a6cd","","326,114.706","0.0424%","$326,114.71"
"152","0xe7bbbdd9e08f324ee72f376f27e386200039850a","","325,891.041836","0.0423%","$325,891.04"
"153","0xa01c9468c3c3a0196d4796caf723bdb74ab531aa","","324,873.880175","0.0422%","$324,873.88"
"154","0x2cf7252e74036d1da831d11089d326296e64a728","","324,479.777435","0.0421%","$324,479.78"
"155","0x7b925e617aefd7fb3a93abe3a701135d7a1ba710","","322,665.058565","0.0419%","$322,665.06"
"156","0xb823a9bce2f257ac5385101af7fa5db77f040a05","","321,813.607","0.0418%","$321,813.61"
"157","0x4702514bc4be114e149f5cc7d7199ed71ca69ee2","","321,413.205","0.0418%","$321,413.21"
"158","0x96c584e7186f82ff1ce983a2901528c10f54b4fb","","321,162.277899","0.0417%","$321,162.28"
"159","0x3630a9b8fa011fd29028c24a30db5d3a28c9b9fd","","320,358.967","0.0416%","$320,358.97"
"160","0x3b2c786c638da2be6df324b5737bb89e4665925d","","312,696.634143","0.0406%","$312,696.63"
"161","0xcd00b002218483e2be1c2fdfb5f5e5511d4e8775","","312,558.270452","0.0406%","$312,558.27"
"162","0x867f2175c60676114d9895af5ef6cf723fc89cf1","","308,684.245342","0.0401%","$308,684.25"
"163","0xb347df8cacacc7ac76fdf5e110698fd01edad6c1","","306,526.770152","0.0398%","$306,526.77"
"164","0xc2f6c9eaf3076df062e7c2f0cc52c3ec0641bdd0","","302,617.770796","0.0393%","$302,617.77"
"165","0xa1921c808ac8db0db9e5f640e2db4c19d0289c52","","301,469.819729","0.0392%","$301,469.82"
"166","0x2c24863abedef7cd322083ff004b51845452bd52","","300,544.675593","0.0390%","$300,544.68"
"167","0xbd40730ba982ae3b82ecf336126a3212c10541b0","","300,100","0.0390%","$300,100.00"
"168","0x61649fed14a2090d61f2257a543bbd99dbdc09c8","","300,000.007996","0.0390%","$300,000.01"
"169","0xa53c9a6129c17f5c6307733bd79993a0ae5884f4","","300,000.005","0.0390%","$300,000.01"
"170","0x84d3c5206b73f0e88622a53640d49974935f5d19","","300,000","0.0390%","$300,000.00"
"171","0x2e188bdc94badebdf751bb133accf4ff67cc4ce1","","299,624.99","0.0389%","$299,624.99"
"172","0xbb98b3d2b18aef63a3178023a920971cf5f29be4","","296,628.14816","0.0385%","$296,628.15"
"173","0xef18f2f054a7ad2909333051aa42d5c0bb3f92f6","","296,344.182484","0.0385%","$296,344.18"
"174","0xcfeec1cbdcaa664b577db0e417575f5930ef5914","","293,252.457946","0.0381%","$293,252.46"
"175","0xe4d4857f6c25e709835550be9def55c87ec0686f","","293,124.954242","0.0381%","$293,124.95"
"176","0x7e3ec7855c3ea160c83b15e709dae11d861242c8","","290,439.070359","0.0377%","$290,439.07"
"177","0xf47b1cecb87ad9410d1d9a58a811273479ec17b1","","290,105.839901","0.0377%","$290,105.84"
"178","0xade113359ebce63e7429317be1a495f3a836df65","","286,755.09","0.0372%","$286,755.09"
"179","0x477032b4ec751f8c1ebdcfa3b9c2b78e91b8a3a8","","283,963.15032","0.0369%","$283,963.15"
"180","0x9e6e953261540e51425aa069b6cfaeb6e76c0711","","281,000","0.0365%","$281,000.00"
"181","0x40e82ca70f7ebfb77e001cc6e8c29b3a996783ca","","280,108.980244","0.0364%","$280,108.98"
"182","0xe0526bff2aeacbe5dd2a0c98b0276144d14f932a","","276,836.5111","0.0360%","$276,836.51"
"183","0xef5a3f20253e16c8670563e50ee4a08467015689","","275,835.053969","0.0358%","$275,835.05"
"184","0xad49873ffa079c8b666ea261cefb07f43143194a","","274,369.659664","0.0356%","$274,369.66"
"185","0xf71b33e8032841dcfa8c4ea14537f708a12eec3d","","271,277.276863","0.0352%","$271,277.28"
"186","0x2216072a246a84f7b9ce0f1415dd239c9bf201ab","","269,011.61341","0.0349%","$269,011.61"
"187","0x304e57c752e854e9a233ae82fcc42f7568b81180","","265,825.035502","0.0345%","$265,825.04"
"188","0xd1b512fad5b723f88352c6faf5d694ad514414bd","","265,207.550999","0.0344%","$265,207.55"
"189","0xa83c29c2f82524d4605f56522980f0d9394da749","","263,615.846442","0.0342%","$263,615.85"
"190","0x095231193b8b75fb03f05def35f1be0d272de6b9","","262,585.560148","0.0341%","$262,585.56"
"191","0x71a0d536fa791e95e80fb7539652884630566b62","","261,509.827714","0.0340%","$261,509.83"
"192","0x00000000000dfd47d200dc26e4e5c79b7e6de984","","260,966.771478","0.0339%","$260,966.77"
"193","0xc43f4d3573d72f5bb1bb53e81080f6a6342dd3b9","","260,902.277565","0.0339%","$260,902.28"
"194","0x7a1cf8ce543f4838c964fb14d403cc6ed0bdbacc","","260,001.0391","0.0338%","$260,001.04"
"195","0x31083a78e11b18e450fd139f9abea98cd53181b7","","259,559.151878","0.0337%","$259,559.15"
"196","0x367d7c523cbb6b44b2e4cccf9afc94b88a1d078d","","258,600.055244","0.0336%","$258,600.06"
"197","0xb024bb315a1a04b9663ba7d67a5351d7b2943a57","","257,960.3129","0.0335%","$257,960.31"
"198","0x1f012709b91d8a3ee1c2642551d3105a5ddb328e","","257,216.119585","0.0334%","$257,216.12"
"199","0xe450278a590e3785da2d42ae979d0f36f2cf9e2e","","256,280.474474","0.0333%","$256,280.47"
"200","0xb187533a195c5a47fc2bc6860a56c4c5012b6957","","254,076.0163","0.0330%","$254,076.02"
