Rank,Address,Address_Nametag,Quantity,Percentage,Value
"501","0x298ded94ef41d7d2519f5ba17c7828805d894cf8","","92,590.64586","0.0120%","$92,590.65"
"502","0xeb34ac1d25e4840c9d8998a0b341ec99e484b019","","92,566.364917","0.0120%","$92,566.36"
"503","0xc8851c0179be9077cee1ab43674602e04fe0caf4","","92,000.0006","0.0120%","$92,000.00"
"504","0xbc2d276495fd573ad6f8ff318dd4e04233ca3181","","91,756.45911","0.0119%","$91,756.46"
"505","0x59153f27eefe07e5ece4f9304ebba1da6f53ca88","","91,449.683068","0.0119%","$91,449.68"
"506","0xaa364c1a348f9517009207a1601e0a73c1cd530b","","91,399.415297","0.0119%","$91,399.42"
"507","0x52f8e27fd525b22d7247d9db6b561a57980dbf3f","","91,308.087907","0.0119%","$91,308.09"
"508","0x1eb60a1c430fd45df680bd4995b854e2a0341022","","91,206.2657","0.0118%","$91,206.27"
"509","0x8de205b522a562dd1092a94e980b9dd5c22fce4c","","91,062.244996","0.0118%","$91,062.24"
"510","0x7e3089fa243310a9b11984f4965fdb3ba9cb1b1f","","91,054.919842","0.0118%","$91,054.92"
"511","0xafc53db8506736e8264b4629e971a152ec3ff7d4","","91,026.383465","0.0118%","$91,026.38"
"512","0x835879203b1f1ad10b6104a700fb730ae4b2b8bd","","90,733.422214","0.0118%","$90,733.42"
"513","0x331a9512e62cd348d321fa75ed4e6d5c7c76710a","","90,674.08934","0.0118%","$90,674.09"
"514","0xb032b2a2e4d3d8e7340a667e24de723a7e4db716","","90,647.535877","0.0118%","$90,647.54"
"515","0xb0044e64804e88a439949bcd088a4db09f6a2dc7","","90,438.243646","0.0117%","$90,438.24"
"516","0xaa2e3b06a4a62ff90249f0d253c6f2eb47847ada","","90,363.09","0.0117%","$90,363.09"
"517","0x2e77a4048479e8f841356d617480bcbb318e844a","","90,000.0001","0.0117%","$90,000.00"
"518","0x3926accf5c2212e35b2b35adb6d993fa86295931","","89,743.844611","0.0117%","$89,743.84"
"519","0x968a67226707f3ada71e87acd2cfaff653c92e38","","89,577.64","0.0116%","$89,577.64"
"520","0x653bb16ad0383d22288d9aa5e73e30f7872adb45","","88,991.083615","0.0116%","$88,991.08"
"521","0x356e5c3b30805d438c10c2c876a3d610674add47","","88,814.54705","0.0115%","$88,814.55"
"522","0x515281812fdf5b0d7be5fb25b823a2ab79e0a621","WhiteBIT 1","88,526.156103","0.0115%","$88,526.16"
"523","0x3a582adbec35405f2f7d242409e6b516918f3fd8","","88,463.578216","0.0115%","$88,463.58"
"524","0xeca3dc6a75e0751eef53f6565c14b654e47c8558","","88,073.344125","0.0114%","$88,073.34"
"525","0x6890346f2d057eb4ff186e074ac162246c41a77c","","87,746.236938","0.0114%","$87,746.24"
"526","0xb95bb373a859c208d4a86c9764d23d93ffb66bae","","87,483.142739","0.0114%","$87,483.14"
"527","0xf35fbb2ad20ad4c620595d514dab58f169a718f1","","87,408.967047","0.0114%","$87,408.97"
"528","0x4aa6f42ce98e79f338f59f210f3ccacc173de036","","87,306.33","0.0113%","$87,306.33"
"529","0xb3777c1503e3d1c576dc17c4c135fb30abd8a62c","","87,258.368656","0.0113%","$87,258.37"
"530","0x07ae8551be970cb1cca11dd7a11f47ae82e70e67","","87,066.052049","0.0113%","$87,066.05"
"531","0x6775212653f3c8043f361304e60ad5e50b72275f","","86,999.080103","0.0113%","$86,999.08"
"532","0x27d4cc27c2f1de54f4e9fca8dcbfc4ba8eac8d41","","86,595.314162","0.0112%","$86,595.31"
"533","0x916ed5586bb328e0ec1a428af060dc3d10919d84","","86,439.169142","0.0112%","$86,439.17"
"534","0x22701614d222c6970e5c8e911e6d134c477f38d7","","86,393.059453","0.0112%","$86,393.06"
"535","0x690a87ed8972e451e755b8f2dc1fc2b28e3c6566","","86,269.731128","0.0112%","$86,269.73"
"536","0x58b6972ad764524f5610882c78769f9015108751","","86,182.685697","0.0112%","$86,182.69"
"537","0x02a78632215262a94ce8651846e7d22adc98ce3c","","86,125.629414","0.0112%","$86,125.63"
"538","0x6c510342b5955016273d3e491026a368c6966c25","","86,000.000118","0.0112%","$86,000.00"
"539","0x5eb69b1637c486be04761d12c4f094526aeb0d36","","85,818.572449","0.0111%","$85,818.57"
"540","0xc1fef246dc74b8c06d80abafcfb4efcaa726bd19","","85,417.582769","0.0111%","$85,417.58"
"541","0xb639c1e6f62a2ba7688d6dfbed4444cb1b89ab74","","85,010.093216","0.0110%","$85,010.09"
"542","0x3a0b720de872741aa37df92dc315ab508f525a52","","84,968.343232","0.0110%","$84,968.34"
"543","0xfb554ac7f86bd69cf31454d867bd9e3ea8110378","","84,739.004101","0.0110%","$84,739.00"
"544","0x6adc35bbdd759be047d9d28b94f5734a9c0cb563","","84,677.106557","0.0110%","$84,677.11"
"545","0x6b6314f4f07c974600d872182dcde092c480e57b","","84,481.881206","0.0110%","$84,481.88"
"546","0x1fff93c4689fb9dceedd3c69cc6caefad7cf7713","","84,445.737479","0.0110%","$84,445.74"
"547","0x0f0eda3b59959a4c501ca8e4cf78307b165f6fb2","","83,796.979795","0.0109%","$83,796.98"
"548","0x8a609dfa5e1a5cc7590090ca62a00b38aba9fb55","","83,622.098584","0.0109%","$83,622.10"
"549","0xf4dd07e443913091d3465d80daca1645f5f8a3d5","","83,095.952668","0.0108%","$83,095.95"
"550","0xd1f481fa4e7c558966dc2badd7aa6c5b908fcd0b","","82,761.698679","0.0108%","$82,761.70"
