Rank,Address,Address_Nametag,Quantity,Percentage,Value
"551","0x3a307b6af44cdb665e4b1f9ac2f117f7bc496da2","","82,323.356309","0.0107%","$82,323.36"
"552","0x4364913cbc49eadc18eadeebf60bb018937302ca","","82,313.918523","0.0107%","$82,313.92"
"553","0x52a258ed593c793251a89bfd36cae158ee9fc4f8","","82,094.29092","0.0107%","$82,094.29"
"554","0x860ab12245626f01e1bbf4927dba617adf92c135","","82,084.852113","0.0107%","$82,084.85"
"555","0x192d354bb0e073f2a83a8dec1aea248bf6144ca4","","81,926.889224","0.0106%","$81,926.89"
"556","0x96db39047b571f792a6caf21fe1464c81d5a2c71","","81,921.326079","0.0106%","$81,921.33"
"557","0xa25e76811436e275fde010aa1bd1080400a4b3e2","","81,914.193704","0.0106%","$81,914.19"
"558","0xe0eee9a106658ce7b88079b351ec1e7a799faeb5","","81,822.0975","0.0106%","$81,822.10"
"559","0x5197df5e822a35acb4e01dcb8b38cc212bbe1aa3","","81,796.089779","0.0106%","$81,796.09"
"560","0x14e8018eca8d65a1bf38b35512de03fefd9aeb4f","","81,323.37214","0.0106%","$81,323.37"
"561","0x251dfcbbb2bcbf7eccf6eaf0089aa3d21ece1fa0","","81,110.184261","0.0105%","$81,110.18"
"562","0x131f4fe17d44d236593e9f800f0a1f906a19e7ad","","80,984.331491","0.0105%","$80,984.33"
"563","0x5078da64447fbe63271367f9372d7f869e10c4cb","","80,612.044954","0.0105%","$80,612.04"
"564","0x19b620929f97b7b990801496c3b361ca5def8c71","Railgun: Relay","80,293.810829","0.0104%","$80,293.81"
"565","0x613e24ec04fa61a5967cccc90cdc1d9513f73d5a","","80,220.50208","0.0104%","$80,220.50"
"566","0xaee66bfc9003ce316f6dff7832993815b4a5f895","","80,218.52117","0.0104%","$80,218.52"
"567","0xba74fc54cc5bc2030977185cf69fb48e747ba597","","80,167.094131","0.0104%","$80,167.09"
"568","0xa5ff1a657ed5bccb15229ef3d5c5b81c25b3d557","","80,002.872517","0.0104%","$80,002.87"
"569","0x07b8f3e3d3fcf5b6d8cf1a49b92047008ee991e8","","80,000.0611","0.0104%","$80,000.06"
"570","0x28ce998c75ecc93b7f9210514539047ab59e7e08","","80,000","0.0104%","$80,000.00"
"571","0x0328e02803d7d0a284398e03143bf90ff6e75b54","","79,955.546847","0.0104%","$79,955.55"
"572","0x452a85701b93afacfef2910a857834f146fbb38f","","79,890.607708","0.0104%","$79,890.61"
"573","0x64fe42d6871bef61ae34f258b4ceaeedc630c451","","79,705.611457","0.0104%","$79,705.61"
"574","0xf6422b997c7f54d1c6a6e103bcb1499eea0a7046","","79,567.789668","0.0103%","$79,567.79"
"575","0x76d9553f9910c5cf1f5dbbb210dc95bc5a63ee68","","79,451.775379","0.0103%","$79,451.78"
"576","0xc0808466d28afc8f8df64ed14885341300c4cb67","","79,450.6","0.0103%","$79,450.60"
"577","0x0eaf74cca14023955955684823d6aa324aa2b8cc","","79,295.092376","0.0103%","$79,295.09"
"578","0x563e3544d392f957487822d31e7bd7b805546044","","79,275","0.0103%","$79,275.00"
"579","0x32f5be7d45d9abfe062a38f19be31982040ac00e","","79,217.3","0.0103%","$79,217.30"
"580","0xd58a0d6000793c1e38242d9aff4b7aa488ad6d41","","78,799","0.0102%","$78,799.00"
"581","0x6c6a629288236c03a9bf6682b7d778d56693ad6c","","78,738.46864","0.0102%","$78,738.47"
"582","0x78865a5247ffa62279e900e240d1697ab7c32923","","78,267.131","0.0102%","$78,267.13"
"583","0x067d3f4c770ec2bff325d144e8bed41d8618a0f7","","78,255","0.0102%","$78,255.00"
"584","0xbbbd1bbb4f9b936c3604906d7592a644071de884","Allbridge: Bridge","78,189.449668","0.0102%","$78,189.45"
"585","0x206d4b89a6ac533e31420642717dc29acfec1b9a","","77,912.533252","0.0101%","$77,912.53"
"586","0x8db03959b359e756468fa75e747771810b4fc4e6","","77,807.352414","0.0101%","$77,807.35"
"587","0x00826d19c5b05ca9bc2273a736d5b07d4884c999","","77,759.448062","0.0101%","$77,759.45"
"588","0x04c079bb31deed8391015eed8d6b625a40957058","Brasil Bitcoin 1","77,725.40031","0.0101%","$77,725.40"
"589","0x039d7fe6089dc47f86cf22284aa996afdb84dabd","","77,704.322939","0.0101%","$77,704.32"
"590","0xf4a22b31af3d56fea4b0ebf7d075e3e3373c0f7f","","77,594.595172","0.0101%","$77,594.60"
"591","0x337bdab57097df3f7c6a968ec8bcc681639649aa","","77,152.16369","0.0100%","$77,152.16"
"592","0x19041834118322927c033489a54e069bc3e4d875","","77,145.71252","0.0100%","$77,145.71"
"593","0x5704b25be9a3fcb1c66d67711e1ac3335a5477bf","","77,067.678712","0.0100%","$77,067.68"
"594","0x13f27352234fafd2573e8d367a9bc3adff3de7d5","","76,924.729882","0.0100%","$76,924.73"
"595","0xfb81e26e842f61ce6cbdc62a61586dac7b3d62e0","","76,917.02","0.0100%","$76,917.02"
"596","0xf429d451041dc934c22a20162ab1d2481f37e0a3","","76,694.02","0.0100%","$76,694.02"
"597","0x9d2009ad20a5eb4d3122043d4ce148729657058e","","76,527.131632","0.0099%","$76,527.13"
"598","0xe263dfc1f2f9d5b2c90711e149e1fa00fbdc9a7e","","76,501.530054","0.0099%","$76,501.53"
"599","0x3c02290922a3618a4646e3bbca65853ea45fe7c6","","76,490.246092","0.0099%","$76,490.25"
"600","0x5cbf420c722ed422308e13311735a51d8c54b8a0","","76,380.573784","0.0099%","$76,380.57"
