Rank,Address,Address_Nametag,Quantity,Percentage,Value
"201","0x5bfb35f8d2cdc11eea3e7590fc5c6d72774e5a82","","253,482.942897","0.0329%","$253,482.94"
"202","0x67e022256e5de118994476a621d709d658b65f04","","252,397.047975","0.0328%","$252,397.05"
"203","0xbec9c6ec58a532cd8aca0af9ce28bf814651b917","","251,884.670244","0.0327%","$251,884.67"
"204","0xe28b200c05c0960d263277334349d775c801847f","","250,191.797","0.0325%","$250,191.80"
"205","0xbb641a834276789d4377771ac27d8a92f5740b85","","250,000","0.0325%","$250,000.00"
"206","0xf077b0289016cdc8a9ae8196705a37f1aefa5091","","250,000","0.0325%","$250,000.00"
"207","0x85fcd7dd0a1e1a9fcd5fd886ed522de8221c3ee5","Synapse: Stableswap Pools","245,875.323534","0.0319%","$245,875.32"
"208","0x5a58505a96d1dbf8df91cb21b54419fc36e93fde","Wormhole: Token Bridge","244,722.415119","0.0318%","$244,722.42"
"209","0x7fab17de2b200a44478ea05397270a1fa1705e44","","244,532.136006","0.0318%","$244,532.14"
"210","0x7e530dfff8a58089761b222e600dec4d36646b7b","","242,881.272831","0.0315%","$242,881.27"
"211","0x5299220a9b541ae3550d390d000b70ca0b74d9aa","","242,050.05368","0.0314%","$242,050.05"
"212","0x0e3eb2c75bd7dd0e12249d96b1321d9570764d77","","241,626.867068","0.0314%","$241,626.87"
"213","0x53f7df0d904970c61a5fe78640e3624a6b141a37","","236,833.513305","0.0308%","$236,833.51"
"214","0x451fa8b826b7aabb605920586282ceed9a53e155","","236,733.408917","0.0308%","$236,733.41"
"215","0xd55c33d3d755a220b116b4273c822daedf31cf8c","","236,723.229726","0.0307%","$236,723.23"
"216","0x34b72f1f83da4f40d851c5ad58aa439d6a619046","","235,141.395495","0.0305%","$235,141.40"
"217","0x88aaeed1fcfca2eda30749afa9ad45a75c80e292","","234,022.275153","0.0304%","$234,022.28"
"218","0x4b4f103797b0215ef8a10d4244ec42f32e09199c","","231,603.31","0.0301%","$231,603.31"
"219","0xd54cc5c9c65d867c3fc51ee2f99368adc2908166","","230,000.066801","0.0299%","$230,000.07"
"220","0xb3ecd032a4b5686e715d45cddcc1342ac6a3df00","","229,077.220172","0.0298%","$229,077.22"
"221","0x2093753e8f35c0da41bfcf277ca5483f70cff95d","","228,871.1474","0.0297%","$228,871.15"
"222","0x43057d2e9cc8f1b5322ec266b2c266509fa1be91","","228,654.452409","0.0297%","$228,654.45"
"223","0x5e64cad8cf42f9d499a62a5990b428b2c36f322a","","224,167.146407","0.0291%","$224,167.15"
"224","0x9e10964c0dc40c73bd74f6c1492b58b1a3c71bd2","","223,230.886519","0.0290%","$223,230.89"
"225","0xf3b90b61da1aa6817ce7b233419e5e8f7e628637","","221,161.673564","0.0287%","$221,161.67"
"226","0x08d4fc3632b1455e0509b14c8b603a718d430bdb","","221,000","0.0287%","$221,000.00"
"227","0x781067ef296e5c4a4203f81c593274824b7c185d","","220,212.163497","0.0286%","$220,212.16"
"228","0x434aed11aad392089cd1aedd97cb024c85c43e11","","217,649.170328","0.0283%","$217,649.17"
"229","0x1ab69572e414867ce3cf39f49c858a03e5812821","","214,253.3579","0.0278%","$214,253.36"
"230","0xa3f26b98c10bf62caf30264a550162bdfe007536","","212,557.800877","0.0276%","$212,557.80"
"231","0x50be13b54f3eebbe415d20250598d81280e56772","","210,127.515532","0.0273%","$210,127.52"
"232","0xddbf611944cc2c7f39384e0bc8c66f9a8e6e231d","","209,759.565279","0.0272%","$209,759.57"
"233","0xdcefdf7a9d0c518a741308e90ca8a685e0e25533","","209,347.424227","0.0272%","$209,347.42"
"234","0xa022ae9cfadefd62d70b510c27dc3d5db67ca43b","","204,782.041057","0.0266%","$204,782.04"
"235","0x8973f61a98d4cfbfcd95631860f1cf5f61d7bc45","","203,563.06513","0.0264%","$203,563.07"
"236","0xb33bd56d4192e8e4e6a02e93eabc732165199346","","202,912.733672","0.0264%","$202,912.73"
"237","0xf2446da67fe63efcd0179275937800f0a3828616","","201,086.492901","0.0261%","$201,086.49"
"238","0x228431f268fa5f74f3cd5d5bcaf9f99a9110cecf","","200,774.713529","0.0261%","$200,774.71"
"239","0xb52a5523025c4af4a52e098756ad1e391d7c6007","","200,388.364628","0.0260%","$200,388.36"
"240","0x2a7f592fc657a029558efd43ddce2ee8a07457e4","","200,122.583009","0.0260%","$200,122.58"
"241","0x7f2b9b7490c7d8b294abec3b89e1c4fbf224506e","","200,032.61582","0.0260%","$200,032.62"
"242","0xb0ba8511d6a414ed15df4a55b58021d4e54c071d","","200,027.584384","0.0260%","$200,027.58"
"243","0x9bdb521a97e95177bf252c253e256a60c3e14447","Nexo: Corporate Treasury","200,001.803832","0.0260%","$200,001.80"
"244","0x0f4d9030b98b47b4b02b7fe3e7b50a0790a80eae","","200,000","0.0260%","$200,000.00"
"245","0xc5484607a4b7cf2dcdab6bb31a595dcc67271c77","","199,999.99999","0.0260%","$200,000.00"
"246","0x50390dea7f6e351e6fd2f2e2eb921e32cfa32b8e","","199,999","0.0260%","$199,999.00"
"247","0x4d8091d890079eecc0f42e25fea2319e014c9a80","","199,556.139858","0.0259%","$199,556.14"
"248","0x917f39da8e7f0a814187b00e174aed59c7221126","","199,049.4824","0.0259%","$199,049.48"
"249","0xbfab17ef82a5e138aa17f40fa4f147d54e873d22","","197,849.485264","0.0257%","$197,849.49"
"250","0xa42946d4feb9be3f46042a80da4998081e76f2aa","","196,618.74785","0.0255%","$196,618.75"
