Rank,Address,Address_Nametag,Quantity,Percentage,Value
"701","0x7a4fc2b50e246bbee36405cddd88d59902b84294","","64,879.501394","0.0084%","$64,879.50"
"702","0x19cbe1fd55be8b9d8706442260b5883088be2e69","","64,642.49054","0.0084%","$64,642.49"
"703","0xe4662e6e19d53101f34a8d469280c12fb51f0e85","","64,451.365398","0.0084%","$64,451.37"
"704","0xfd785d8f70e8f7b38aa47e3802ac7b3342743516","","64,237.67623","0.0083%","$64,237.68"
"705","0x6073eef5e2b8da99d14d72237f17513d78aa9166","","64,231.01493","0.0083%","$64,231.01"
"706","0x76c49ddd16be45d7ab3133b5150fad5fdaaedf5c","","63,938.325656","0.0083%","$63,938.33"
"707","0x75877c6bbc1b2d94064f7398f584666d8958825f","","63,929.826242","0.0083%","$63,929.83"
"708","0x3821523f7ae6c2b11a059c9c54d9aa2914e782d8","","63,450","0.0082%","$63,450.00"
"709","0x20bf018fddba3b352f3d913fe1c81b846fe0f490","","63,364.929568","0.0082%","$63,364.93"
"710","0xb5f3a9dd92270f55e55b7ac7247639953538a261","","62,971.715701","0.0082%","$62,971.72"
"711","0x7c22d6efe920f252da3c81922595e309ddfb227f","","62,920.66736","0.0082%","$62,920.67"
"712","0xb975eda59cc382b852fd3c2b2014f8405ab8d990","","62,887.431249","0.0082%","$62,887.43"
"713","0x1c16e7605f0b98d031cc460946fa01eaec9da657","","62,810.005683","0.0082%","$62,810.01"
"714","0xc7ed6c48ce8894d63b58c39fc2056963a3c545ab","","62,505.283135","0.0081%","$62,505.28"
"715","0x22e016a9946ec0b6e3d44608eed9ef69316166e3","","62,457.269085","0.0081%","$62,457.27"
"716","0x957501e645b8ca9c8ce3019d2a770db4b2152ba8","","62,375.616","0.0081%","$62,375.62"
"717","0xfffceb755439ac0144783170239a82004c066daf","","61,966.422055","0.0080%","$61,966.42"
"718","0x0f58ea6ddc7352b19b15f0a43bd786cf1b3fe0f6","","61,854.242151","0.0080%","$61,854.24"
"719","0x2f2d9b944a1165b96c1ba2969fcedb0cf163479d","","61,729.021733","0.0080%","$61,729.02"
"720","0x6a68bf02cb2e5fdc620192316f0c595b02009cf1","","61,594.329574","0.0080%","$61,594.33"
"721","0x6fe712c6c597f415c08b5ec3c940020e72988e68","","61,530.412055","0.0080%","$61,530.41"
"722","0x9a871c1c9543078359b52bd8effd2a02be618d6d","","61,354.201999","0.0080%","$61,354.20"
"723","0xcdd498d1909bca9c4e1f984cd00edb117e193a3d","","61,145","0.0079%","$61,145.00"
"724","0xe818c9573dd90766c1263cf6330ab1ac2476b2b9","","61,133.673658","0.0079%","$61,133.67"
"725","0xfba63b97c524c647426efcfa9bcfaedcdc5d5574","","61,122.527088","0.0079%","$61,122.53"
"726","0x8e5c6d790a86157539540387356b12397651214f","","61,061.900748","0.0079%","$61,061.90"
"727","0x71d4249079684479f2651745fa2fcd79c9b45f53","FixedFloat","61,038.985848","0.0079%","$61,038.99"
"728","0x7fce0a540252fea025159b87d878b9fc9fde9bcb","","60,912.012396","0.0079%","$60,912.01"
"729","0x86970b90005a1cdd9452c73a217be3f81d4e2406","","60,900","0.0079%","$60,900.00"
"730","0x05d3e6c208b488abbd35897151a28a0d0f3f9985","","60,770.553576","0.0079%","$60,770.55"
"731","0xe69bc63e472743314c46d03c0a4de605852a3f04","","60,719","0.0079%","$60,719.00"
"732","0xaece747250cc609e70a43608587fd9a68d9d91a7","","60,412.246327","0.0078%","$60,412.25"
"733","0x9c5df4a1f8ec71ff6b3da5924dad993dc4bcedfb","","60,409.198476","0.0078%","$60,409.20"
"734","0x4b85d14ce061bf8af9202a6d5ed661a7f47c3e4b","","60,405.5","0.0078%","$60,405.50"
"735","0x729272c6186d6cc51cc6a1a77459a9c9a2a84639","","60,382.021833","0.0078%","$60,382.02"
"736","0x01fdf9902e89d1487ee3b3186905e4294f9b4b4b","","60,329.6","0.0078%","$60,329.60"
"737","0x731c47a2473e4105a05938daf719f652c9abd9e0","","60,294.983297","0.0078%","$60,294.98"
"738","0x11b38d569ee48896f3333fa4af02b8698757c3c5","","60,032.9","0.0078%","$60,032.90"
"739","0x39a541ca57d62614b0b191a955b714591c12c5d4","","60,002.743005","0.0078%","$60,002.74"
"740","0xf02637fb9fc1a53d9dd612205899c786960cecfe","","60,000.0002","0.0078%","$60,000.00"
"741","0x8d773c8a5905284657056226a6d1b6320c2aad4a","","60,000","0.0078%","$60,000.00"
"742","0xca74281b35b5a12484891edac0ef03d19c2dc118","","60,000","0.0078%","$60,000.00"
"743","0xf618597b623ed1d811832322ecc4ffc5833a73a3","","59,999.82","0.0078%","$59,999.82"
"744","0x791befbb63d3ec9c059d3362d50616fbb456427b","","59,999.735971","0.0078%","$59,999.74"
"745","0x69ea362a64ca51c0040942b06e1538bb125b4348","","59,962.043201","0.0078%","$59,962.04"
"746","0x4e565f63257d90f988e5ec9d065bab00f94d2dfd","","59,808.223536","0.0078%","$59,808.22"
"747","0x825aef09eade6afc8e54aff6a5a230f4ee8fb98d","","59,780","0.0078%","$59,780.00"
"748","0xd1ddc2ccb14fd89b9166e9e9fa99627ea7ba101e","","59,677.251743","0.0078%","$59,677.25"
"749","0xe015296fac267dc178eceaef923df463d368cbf8","","59,468.81096","0.0077%","$59,468.81"
"750","0xc60df9d5922d79dcdad56cad3fcb5ef2fc3e9ce8","","59,290.51085","0.0077%","$59,290.51"
