Rank,Address,Address_Nametag,Quantity,Percentage,Value
"251","0x9c5ebcbe531aa81bd82013abf97401f5c6111d76","","196,076.205166","0.0255%","$196,076.21"
"252","0xb13053e8b4f62a67c5dfbcafde3a11337f4e5822","","194,802.031337","0.0253%","$194,802.03"
"253","0x9eb4a56c9c6ae63a040eed0f5595a8a8c1e69aae","","192,715.82684","0.0250%","$192,715.83"
"254","0x6efb274a59c14bf26325b1fed49a8d9274076b91","","191,160.598165","0.0248%","$191,160.60"
"255","0x687eae03b94cf53b7a33f4e4d940993fe19b34f6","","190,000.614297","0.0247%","$190,000.61"
"256","0x7eb87a95948348d6ec7231b52f61281e01d53941","","189,556.001429","0.0246%","$189,556.00"
"257","0x30d9311abcb8797d753d3cd5aa9635ec86adb25c","","188,672.615771","0.0245%","$188,672.62"
"258","0x4dd9f2e014b62bb7bf35dcdcf56804ff768fb912","","188,445.102584","0.0245%","$188,445.10"
"259","0x734c3aa247160fbc38d7c9ebfa3e13cdc71cd465","","187,912.198427","0.0244%","$187,912.20"
"260","0x9b0cb31f3e9232196aeaa7cac03ea95c5a4f0e35","","187,395.479888","0.0243%","$187,395.48"
"261","0x3fbd55bbfbb36f45167c9abe1396a4e5a192e8fb","","186,340.582171","0.0242%","$186,340.58"
"262","0x1163895300626286ceef37c6215456dd56edadb3","","186,000.2992","0.0242%","$186,000.30"
"263","0x1681e433aefc37cd0057c55e2158d0c27ef9eea1","","185,502.634781","0.0241%","$185,502.63"
"264","0xc0ebd15a80313dfd3e3fd3c36c15adfa0ffba93f","","184,390.72","0.0240%","$184,390.72"
"265","0xef943475e3e5d43c2e0ea42a2b663c64d010039c","","184,049.46","0.0239%","$184,049.46"
"266","0x700d0c48926af78c2c51f08c667f27ce6548386b","","184,014.117257","0.0239%","$184,014.12"
"267","0x425e4e0c1db781c57fe997f62144256aa4421e11","","183,147.254905","0.0238%","$183,147.25"
"268","0xaef609d01f7fd0f64c37d127e30a636640f1d5b0","","183,144.254386","0.0238%","$183,144.25"
"269","0x5ec50b39829ab40291745fea6e11f10f3845fadb","","182,917.198008","0.0238%","$182,917.20"
"270","0xc5d1d50d9517db581de2ceb6e5d33b7750b0a04a","","181,681.240341","0.0236%","$181,681.24"
"271","0x4b1f1e2435a9c96f7330faea190ef6a7c8d70001","","180,796.035961","0.0235%","$180,796.04"
"272","0x254c3a65486cf85a19c4a5933266b71109cd928c","","180,530.312139","0.0235%","$180,530.31"
"273","0xddea49b0b1756e7930c0bf665739d1c419c296a5","","179,253.804942","0.0233%","$179,253.80"
"274","0x53ba210eb0273b9b80f61112e425c02c64d494c5","","178,571.804763","0.0232%","$178,571.80"
"275","0x1001365fe95f7938fb34dfd38e788c8e53866e16","","174,361.23463","0.0226%","$174,361.23"
"276","0x089b4c2a38bbbfbddc6e0d530263e5ef6c238c12","","174,291.832782","0.0226%","$174,291.83"
"277","0x662a66b5d7061f2faa389ca4161f3e7fe8c0d0d4","","173,767.1037","0.0226%","$173,767.10"
"278","0xf6ec31cfbcdcc1598e28bcdf1f8fb102ee0811b2","","172,694.545201","0.0224%","$172,694.55"
"279","0x006922f2d3ecabb04153bb3252d9ab81d171815f","","171,749.310023","0.0223%","$171,749.31"
"280","0x82c54bb3e4d99f47179583e8af696603ae04ffc2","","170,737.889664","0.0222%","$170,737.89"
"281","0xd9a5af4ae7465bd4748cd945b6f160c79964f47c","","169,571.786839","0.0220%","$169,571.79"
"282","0xbabb12ac001534287e8766071e0ca14057315f7f","","168,739.08073","0.0219%","$168,739.08"
"283","0x186db85999405eb778c6155e52e0fa9c2d177fb5","","167,354.895988","0.0217%","$167,354.90"
"284","0x9eba70c2837868c57d7671ef7271a5d399795ade","","166,826.490355","0.0217%","$166,826.49"
"285","0x5338968f9646e4a865d76e07c2a6e340dd3ac462","","166,278.127119","0.0216%","$166,278.13"
"286","0xba920b8e008b97c42e8707362559c09331052dc9","","165,978.23","0.0216%","$165,978.23"
"287","0xe46b9f2a0ac87632cbfe64f3da228bba4619f9fc","","164,095.174806","0.0213%","$164,095.17"
"288","0xa239f03cda98a7d2aaaa51e7bf408e5d73399e45","","163,181.884081","0.0212%","$163,181.88"
"289","0xee1a06ef98eda4c9d98742e7222f724433c93ed2","","163,017.726314","0.0212%","$163,017.73"
"290","0xbc70fbab9c5df1f281855cff62a15dce5bdf7b20","","162,448.04781","0.0211%","$162,448.05"
"291","0xd829e975b00f4cb4ccd8cefe80525a219d2d3b15","","161,626.761299","0.0210%","$161,626.76"
"292","0xbb4d1dc5c1abec4ea11166ec97e714862863ad1d","","161,614.987757","0.0210%","$161,614.99"
"293","0x2475039bf2ecdce2ee4c82954e64be9674f43546","","161,550.974817","0.0210%","$161,550.97"
"294","0x484bc1e3d652cfb1389e3252efc3b9da95768714","","161,030.4955","0.0209%","$161,030.50"
"295","0x215b2a592886b2a64a265e8c409fa4d6d9d3797d","","160,735.822108","0.0209%","$160,735.82"
"296","0x91650c9c52115b41d714529a5400b74fd0793ebf","","159,995","0.0208%","$159,995.00"
"297","0xb903d66515403df55d0d86f54a40afa55726c4c2","","159,000.92758","0.0207%","$159,000.93"
"298","0xda768f9c65a21c623c2d24235f62292e73544348","","158,283.998821","0.0206%","$158,284.00"
"299","0x963ec454423cd543db08bc38fc7b3036b425b301","","157,681.600942","0.0205%","$157,681.60"
"300","0x026e20c347eef6a5b30ebc2a5c1c49b364015b31","","157,126.815157","0.0204%","$157,126.82"
