Rank,Address,Address_Nametag,Quantity,Percentage,Value
"301","0xa010bfec775b9dc4fd0cada27e87f79b5cdd3c92","","156,725.32128","0.0204%","$156,725.32"
"302","0xf7c8832d856aa04798076890de8d2ea05f0b3ffc","","156,666.932244","0.0204%","$156,666.93"
"303","0xfa21f001ef54ac2510d72e854a492b8731c3e7fa","","155,492.500319","0.0202%","$155,492.50"
"304","0xe4fede69c402706c7e20e834c7d6cff56b6a8c26","","154,124.399911","0.0200%","$154,124.40"
"305","0xbfa1cbfc7b79115947889ac7cb25801ee8055df9","","153,745.82968","0.0200%","$153,745.83"
"306","0x65ebf62bc089a159e940e31f95df491dff374d74","","152,581.711989","0.0198%","$152,581.71"
"307","0x9c5f4760931db0dd7e0f2f1b45980d04411485bd","","152,200.180643","0.0198%","$152,200.18"
"308","0xb3e084d2de3ff9be4a352e164a722d19d64179c3","","152,196.448586","0.0198%","$152,196.45"
"309","0x72de23e86c11c102d5739256e6052ce2961cb520","","151,706.966591","0.0197%","$151,706.97"
"310","0x32de437df5dfa12c7d279be18d79a975d11167d2","","151,477.840133","0.0197%","$151,477.84"
"311","0xd75469e3a9f9f2ced454ac06f1880153c2158a60","","151,172.306365","0.0196%","$151,172.31"
"312","0xfa1b95b2faf6fa440c0650045b769f4b9197e250","","151,145.820319","0.0196%","$151,145.82"
"313","0x4052ea614c5a96631c546d8b8d323a7c3d9abb69","","150,082.063122","0.0195%","$150,082.06"
"314","0x0704dc394fd1c4aa23ec702b0c405f3eef9bd265","","150,009.5","0.0195%","$150,009.50"
"315","0x18356d8624f7b1b210fb7078cd989b4471bcb74a","","150,006.540543","0.0195%","$150,006.54"
"316","0xc0a8ed0f55523ecab8f37ac71f148db6d46ac66a","","150,000.000144","0.0195%","$150,000.00"
"317","0xf7b8e9c67bdd9b17033d5bb92b4b4826fcfeedc6","","149,999.92234","0.0195%","$149,999.92"
"318","0x4664c3ee5eeca439a00a6ae19e877ef061318f7b","","149,967.639339","0.0195%","$149,967.64"
"319","0x22ce4fa4417b0a3e36134a753e401c2b1f3d40d5","","147,889.817599","0.0192%","$147,889.82"
"320","0x5b41eedcfc8e0ae47493d4945aa1ae4fe05430ff","","147,525.928001","0.0192%","$147,525.93"
"321","0x7ab6c736baf1dac266aab43884d82974a9adcccf","Nexo 2","146,996.841051","0.0191%","$146,996.84"
"322","0xf0675af76cc32542239c6fb3d1ddbfd881b98e47","","146,657.862964","0.0191%","$146,657.86"
"323","0x56f03783b9d80fb081c9c0494f2ccb82d29a686c","","146,168.909358","0.0190%","$146,168.91"
"324","0x802b65b5d9016621e66003aed0b16615093f328b","","145,030.124784","0.0188%","$145,030.12"
"325","0x41f78f15405f822674d85efd86723d8c70eda831","","145,009","0.0188%","$145,009.00"
"326","0xa184af4b1c01815a4b57422a3419e4fb78a96ee4","","143,947.442562","0.0187%","$143,947.44"
"327","0x73b51d752ace0a8c332da665db8a01c71ef79eea","","143,172.554823","0.0186%","$143,172.55"
"328","0x2b0cdbf61a67b0a993651798a19ef82bd65e2049","","143,059.443308","0.0186%","$143,059.44"
"329","0xb308a6010642be6719f1d3147e1234a865fadafb","","142,249.786732","0.0185%","$142,249.79"
"330","0xef8c2edc65058cfb88118968cb62e045454125c8","","142,040.724898","0.0185%","$142,040.72"
"331","0x0872527a636c0cd6000853f1483650bbaf1f1daf","","141,049.275311","0.0183%","$141,049.28"
"332","0x63dfe4e34a3bfc00eb0220786238a7c6cef8ffc4","WOO X","140,610.224234","0.0183%","$140,610.22"
"333","0x425603f07301efa490cf6cfedb9a26d80abcef60","","140,038.601051","0.0182%","$140,038.60"
"334","0x8f206d5d6bb1f26050a1c43a6d65360225f96853","","140,000","0.0182%","$140,000.00"
"335","0x1e501403ae17f4ace5e3dd32508d57be21470a56","","139,233.592014","0.0181%","$139,233.59"
"336","0xc0a620f0fb6fb170d0eac6ad44186999f30ef369","","138,162.8","0.0179%","$138,162.80"
"337","0x60ea32a35f64628328f578c872dd6c6d81626aba","","137,073.697835","0.0178%","$137,073.70"
"338","0x5a25aa3c464d17425633cf6b17b7548a3696322b","","136,995.375359","0.0178%","$136,995.38"
"339","0x5d623b19c1624797118a6e7c594f5eb18faff30d","","136,824.516119","0.0178%","$136,824.52"
"340","0x2bb79c978fe15aadb679ee455b48227b405d18c5","","135,889.235049","0.0177%","$135,889.24"
"341","0x604229c960e5cacf2aaeac8be68ac07ba9df81c3","","135,814.106076","0.0176%","$135,814.11"
"342","0x0101f2e22723aa7212e401095cb57027c6f2f1e0","","135,790.96","0.0176%","$135,790.96"
"343","0xb67f5bac2a339b7a2a1197d46c21d1cd93ff07c7","","135,201","0.0176%","$135,201.00"
"344","0x98ebe77e345cb776349083c28d86a5cb066fa50a","","134,557.407529","0.0175%","$134,557.41"
"345","0xe15a8a7e5f84331f6fbfb19bee6471c31eea281a","","134,379.110118","0.0175%","$134,379.11"
"346","0x8776012d987b70cd5e1cc4db7618b9749740a9a0","","133,447.90078","0.0173%","$133,447.90"
"347","0x104703893f56243c0e56441a99eb3f32e1ed6ad2","XT.com 2","133,156.793606","0.0173%","$133,156.79"
"348","0x8195d3496305d2dbe43b21d51e6cc77b6c9c8364","","133,011.813537","0.0173%","$133,011.81"
"349","0x24571ce3b50925644d4423eb6d8310d8a31ffa33","","132,900.4","0.0173%","$132,900.40"
"350","0x928704fcb6774e2bc09ba5063f579a3276d0ff38","","132,736.5888","0.0172%","$132,736.59"
