Rank,Address,Address_Nametag,Quantity,Percentage,Value
"801","0x6e27e0043ffda4e054c73e8c4e51754bfb846532","","55,300.503288","0.0072%","$55,300.50"
"802","0x39bd36c10fa38f6c309fd73007504d2f275aeae9","","55,257.5","0.0072%","$55,257.50"
"803","0x3aed79866319497b9b6c0507dcb086f2708b4abe","","55,201.742232","0.0072%","$55,201.74"
"804","0x432380b602faf6b9cb40ad89691771b0bf18f908","","55,196.55258","0.0072%","$55,196.55"
"805","0xba4392b3209ae5cfce9907ca2411f5fe8450a2a0","","55,150.305085","0.0072%","$55,150.31"
"806","0xca0e3db7482d4c737abfa69711ac0ce233a99b14","","55,103.82","0.0072%","$55,103.82"
"807","0x387ab1bf1da17ff621fcf41081ec20b3833c6109","","55,000","0.0071%","$55,000.00"
"808","0x0d0e3b0a503b854a3810758e550694e0a47c96e7","","54,974.481178","0.0071%","$54,974.48"
"809","0x54c39a7fa0d8caa251bad55c7abefa43bc8ba749","","54,967.360827","0.0071%","$54,967.36"
"810","0xe7b3b0a59b026ec1fef16561daf93672a61bafec","","54,966.676805","0.0071%","$54,966.68"
"811","0x718c2a6a8f60026e13f406af077b0d84d075d222","","54,925.125231","0.0071%","$54,925.13"
"812","0xcda8c753a755d0ed79df2ced2b3448a021c9c096","Fake_Phishing208","54,846.158717","0.0071%","$54,846.16"
"813","0xb7302cea8df561cfbd004882b1ef8041a9dd7639","","54,801.94","0.0071%","$54,801.94"
"814","0x26ae45a9972e48bea4e22be17a848c41804e2b51","","54,778.092386","0.0071%","$54,778.09"
"815","0x1362e34ff074b0a611c7e14b28656c9b9a62d63d","","54,725.737768","0.0071%","$54,725.74"
"816","0x2272c2ef9d960b652711b3680c61c18be10463c1","","54,650.252177","0.0071%","$54,650.25"
"817","0xf87ca9d339171db988dc51d16fb0bd220b101c38","","54,544.696576","0.0071%","$54,544.70"
"818","0xf7d4fdcf28a43b27704fb397284a7e64e2484260","","54,501.823907","0.0071%","$54,501.82"
"819","0x59e3454a921d2af1cea58cc0ccf289ea43a35ab1","","54,482.837859","0.0071%","$54,482.84"
"820","0x711142f512fd872b3904a53b81ea9e6edcb06539","","54,473.41421","0.0071%","$54,473.41"
"821","0x51ba6746c7502eea040836169807d6596351cde3","","54,414.381","0.0071%","$54,414.38"
"822","0x2587c11b25d5962c9ee1dff7500d065ba360bffd","","54,294.964797","0.0071%","$54,294.96"
"823","0x0bbcbad4eff2f6a6563d986ae5b3fab0654acfa1","","54,178.065889","0.0070%","$54,178.07"
"824","0x10642e8ff2afdcedecbefc26bb4e9b6f144a2844","","53,963.745306","0.0070%","$53,963.75"
"825","0xa6d247a0b4e3401dedd6a24f9ee8a57e24e47796","","53,868.602883","0.0070%","$53,868.60"
"826","0x9c75894f4512c5cf29e0a548df94ca7fb51f668d","","53,779.806304","0.0070%","$53,779.81"
"827","0xe3083e14ce19a2129e979801a003c2798bda5f46","","53,565.596398","0.0070%","$53,565.60"
"828","0x010698794c83c624109b9119de07dad100efcc90","","53,417.028","0.0069%","$53,417.03"
"829","0xe84a290bf2af16be81ee79c855bdea10f07c3a6d","","53,416.45537","0.0069%","$53,416.46"
"830","0x54b50187becd0bbcfd52ec5d538433dab044d2a8","","53,199.222798","0.0069%","$53,199.22"
"831","0xdba24f19bce0f32ea4273faea7c01d7f9d4f91d6","","53,181.924046","0.0069%","$53,181.92"
"832","0x25cced09cfb3258997c353e7d77d19289d37baf5","","53,145.449144","0.0069%","$53,145.45"
"833","0xed8bfc397e37b6de8c42382b279d9a2970a04545","","53,132.150041","0.0069%","$53,132.15"
"834","0x3b08d545fc3c13cce87fea7aa8da380a3248c972","","52,644.271689","0.0068%","$52,644.27"
"835","0xdbc64330cea7008797768e7d4b49587edfb91d3a","","52,601.700546","0.0068%","$52,601.70"
"836","0x7e8c73462aaa9d61c801bd9f5682db014387621a","","52,397.381989","0.0068%","$52,397.38"
"837","0xc3637872383e93563a535e0abd441ce5a341ff95","","52,216.754746","0.0068%","$52,216.75"
"838","0x82e8936b187d83fd6eb2b7dab5b19556e9deff1c","","52,188.175016","0.0068%","$52,188.18"
"839","0x02243480998247cc77ffda795eb5e64302321655","","52,156.735377","0.0068%","$52,156.74"
"840","0xa0387adba7636722abe119cbf9220ce0b9938b0b","","51,897.961312","0.0067%","$51,897.96"
"841","0xafd5905c334bac238797618d97e6489edc72abe8","","51,808.045281","0.0067%","$51,808.05"
"842","0x5636ac273d05fc13763f9eaf6adb1801d5c09f97","","51,807.898623","0.0067%","$51,807.90"
"843","0x1707f3903fdcfbf0122a6c42cf3442ac2d979c14","","51,787.896109","0.0067%","$51,787.90"
"844","0xca4fe0950313740b1622cc3a7c601a978c11f2fc","","51,761.832747","0.0067%","$51,761.83"
"845","0x2c2301fdb0bfa06eaabaa0122cbceb2265337c25","","51,709.60971","0.0067%","$51,709.61"
"846","0x98a70b939a140c116c7d7bf536c31598c1226207","","51,679.178749","0.0067%","$51,679.18"
"847","0xc8c277c91d2c3ef087da1ed6904ab7080d1d20e0","","51,670.890195","0.0067%","$51,670.89"
"848","0x3e1aca18700d22ac07a44b2ec10b18ffe97af063","","51,443.649632","0.0067%","$51,443.65"
"849","0x63ac60899fe03b01413d03cf693c71e6580772de","","51,410.374169","0.0067%","$51,410.37"
"850","0x4919f5da960edaf34b36473c05a543d4c18bfc15","","51,272.691442","0.0067%","$51,272.69"
